customer_ID,engagement_score,risk_signal,default_risk,predicted_default_risk,risk_bucket,engagement_bucket
0000099d6bd597052cdcda90ffabf56573fe9d7c79be5fbac11a8ed792feb62a,0.341183051,0.007862115,0,0.047491348,Low,High Engagement
00000fd6641609c6ece5454664794f0340ad84dddce9a267a310b5ae68e9d8e5,0.340800151,0.11009889,0,0.069489738,Low,High Engagement
00001b22f846c82c51f6e3958ccd81970162bae8b007e80662ef27519fcc18c1,0.275185208,0.005511293,0,0.083834317,Medium,Medium Engagement
000041bdba6ecadd89a52d11886e8eaaec9325906c9723355abb5ca523658edc,0.340521152,0.027176047,0,0.060318498,Low,High Engagement
00007889e4fcd2614b6cbe7f8f3d2e5c728eca32d9eb8ad51ca8b8c4a24cefed,0.275190581,0.004997635,0,0.084043948,Medium,Medium Engagement
000084e5023181993c2e1b665ac88dbb1ce9ef621ec5370150fc2f8bdca6202c,0.336221196,0.101981525,0,0.071148589,Low,High Engagement
000098081fde4fd64bc4d503a5d6f86a0aedc425c96f5235f98b0f47c9d7d8d4,0.148611248,0.007903823,0,0.369221853,High,Low Engagement
0000d17a1447b25a01e42e1ac56b091bb7cbb06317be4cb59b50fec59e0b6381,0.143084255,0.178124317,0,0.522273301,Very High,Low Engagement
0000f99513770170a1aba690daeeb8a96da4a39f11fc27da5c30a79db61c1e85,0.711061487,0.065327164,1,0.617127912,Very High,High Engagement
00013181a0c5fc8f1ea38cd2b90fe8ad2fa8cad9d9f13e4063bdf6b0f7d51eb6,0.279580733,0.006344665,1,0.084412418,Medium,Medium Engagement
0001337ded4e1c2539d1a78ff44a457bd4a95caa55ba1730b2849b92ea687f9e,0.353303571,0.045928282,1,0.067806339,Low,High Engagement
00013c6e1cec7c21bede7cb319f1e28eb994f5625257f479c53ad6e90c177f7c,0.146694222,0.193816982,1,0.62455528,Very High,Low Engagement
0001812036f1558332e5c0880ecbad70b13a6f28ab04a8db6d83a26ef40aadb0,0.545133655,0.061644195,1,0.63855382,Very High,High Engagement
00018dd4932409baf6083519b52113c2ef58be59e1213e4681d28c7719a65ddf,0.335314195,0.097724257,0,0.070118111,Low,High Engagement
000198b3dc70edd65dbf0d7eddbcb926c6d7dbd7986af19d91ef3992ae3ab896,0.216994362,0.08354672,0,0.22146114,High,Low Engagement
000201146e53cacdde1c7e9d29f4d3c46fd4d9231a3744aa39fb9c6afa79b708,0.418049317,0.141210999,0,0.446514187,High,High Engagement
0002d381bdd8048d76719042cf1eb63caf53b636f8aacdba49365fd1ab7d0f36,0.285759333,0.021959094,0,0.081260374,Medium,Medium Engagement
0002e335892f7998f0feb3a59f32d652f0da7c85e535b99ea6f87fd317ed47f4,0.273146495,0.229163228,1,0.241432356,High,Low Engagement
00031e8be98bc3411f6037cbd4d3eeaf24b3ae221682b77900533c9bb36ec41f,0.346820942,0.100637239,0,0.064541394,Low,High Engagement
000333075fb8ec6d504539852eeeb762643562e701ac79b2101ab0f9471eeb5a,0.348068358,0.176347011,1,0.082473386,Medium,High Engagement
000391f219520dbca6c3c1c46e0fab569da163f79ee266b2cc95fb31029ce617,0.248310197,0.268185488,1,0.305481093,High,Low Engagement
00039533fe0b61bcf1ec0d1aefe6acb5469ea0f0d1b0ad59ae721e5b86db12f1,0.460765729,0.014759188,1,0.568979748,Very High,High Engagement
0003b7891c49786441d138c01f55f1712df645989dcd2a83106ab4a229fee72d,0.255925997,0.077374788,0,0.148736765,High,Low Engagement
0003e58375faf90552b2861c1ccea4ee5757827cbb6ecd15a334e47e95774185,0.248729975,0.058678377,0,0.13728457,High,Low Engagement
000445609ff2a39d2dd02484899affa5696210a95f6869f26390bd26eeb3b651,0.275885254,0.005296552,0,0.083674916,Medium,Medium Engagement
000473eb907b57c8c23f652bba40f87fe7261273dda47034d46fc46821017e50,0.546442221,0.068977408,1,0.613200682,Very High,High Engagement
0004837f0c785928a29a6f83f70f4a1c54caec483a773ff4b5b317ac251abda0,0.27723994,0.22760804,0,0.736909062,Very High,Medium Engagement
0004860c260168fcaad0734a1dfedb7ceb1a83aaac54e24c27244b77308fd8b7,0.180134728,0.639043344,1,0.784998761,Very High,Low Engagement
0004b8596c4946866d1b27a8b40488ecf49c6eae9c7bf4afcb6a8642b321124c,0.280846964,0.005266351,0,0.080217911,Medium,Medium Engagement
0004e00358fc4dd633e491c8090a0794b6165ed9a7e60c02bdab9ac745f661c2,0.330115024,0.106441162,0,0.074728779,Low,High Engagement
0004ec03ca1ab2adb9aa260c61ba5dce8185e19d3ab704029f989240c733b6d0,0.350772743,0.186603923,0,0.08518409,Medium,High Engagement
00050d84c6d26e26cd2b18c3eed83d3130c270e2361470ff272f9409103d067f,0.286092301,0.168935863,0,0.138850255,High,Medium Engagement
000548e99fa24cef8377e68e602e4bd70d30500a007999236e13f58ca8a259da,0.348166893,0.105416252,0,0.067283669,Low,High Engagement
00055add5eaee481b27e40af3f47b8b24e82c1e550f6ab010000e7685692f281,0.276368085,0.005254429,0,0.083731832,Medium,Medium Engagement
00057576e6eab4633ec2893ca7e0ab76f2094ad2d43b1e3749db49d51e064ee9,0.159294097,0.564622983,1,0.856037046,Very High,Low Engagement
00057c2d8d887fa3f777d97dc939700731575772e6c99025aaa0ab56870353ce,0.275485796,0.005748963,0,0.084186804,Medium,Medium Engagement
0005a6ae24fd274640a237ea56c43b1ef9e32077ad168a90d464dcf2bd5976fb,0.348275288,0.169830916,0,0.081196822,Medium,High Engagement
0005e52a3fa31b7eed49ceb576f011433ee2578833cd3f9d51c9dd9448a198ff,0.239271348,0.038881076,1,0.306831168,High,Low Engagement
0005ef1480ffe4f0e5908eae07db8e05f2e705bca6a57db3b97d1da2eb6c7cab,0.539218277,0.23943556,1,0.829380047,Very High,High Engagement
0005f2ab0cc352cd64eac9e60b981ed8c3289d20fa5fcef78973c468916fdfc9,0.347705139,0.198431008,0,0.088865852,Medium,High Engagement
00062483fb33d6129dd4ee7e5a12f751d2e7010ac0df0178997c628883695603,0.275842128,0.004647033,0,0.0836059,Medium,Medium Engagement
00062d39ff054c4e18d5dba3b988c94277246d2d4aee42e588c62bc8b3ac1f5b,0.346948419,0.050830745,0,0.055190013,Low,High Engagement
000664572b701ea9833f05597f0c5347f471737baa925a3c2829c84df4606d46,0.343544154,0.019605396,0,0.049591916,Low,High Engagement
000678921d09c5503d34055ab96b150a972f59a96471b987415c21ba1e86605a,0.275204998,0.005805318,0,0.084083431,Medium,Medium Engagement
00067cdd68211fdf71636823c827371a070c52417d4ab364309a0d9e5ebbd8cc,0.340219512,0.044404105,0,0.056459368,Low,High Engagement
00067f4aed8cf43b16652c966860774f650420ef7a306fb9769f14858d87ba9f,0.393479304,0.221705125,1,0.725561956,Very High,High Engagement
00068f00a4ddaa53b75bc7235f13a42493eba75792850e49327f2cfaf1ae6791,0.309432725,0.036294603,0,0.071582813,Low,Medium Engagement
0006a80d96aec1d178bf74adab6cbf9e4bf427a6ba264fefecd53a4c1233cd21,0.191292246,0.555398614,1,0.61778841,Very High,Low Engagement
0007138953c25a3a7d8f48cf60dd6e9ca4a77d9e945a443f986062a95f795c4d,0.274116776,0.005361505,0,0.084371503,Medium,Low Engagement
00073f1912e2151e987a71b78ded23870729d7fd0e6b94b217aa66dded29af8b,0.310624945,0.011511333,0,0.063074278,Low,Medium Engagement
000772ede38fe3811dea0dff9dc50e2f8b7b577ab6f143c034b2dbccee197f57,0.224850674,0.041964805,0,0.166412581,High,Low Engagement
0007764443c6d098326549271e1d2613b111acafd039e96df124da7770e4fa70,0.338982859,0.036712165,0,0.066106307,Low,High Engagement
000790f99df4c2a0eccd9ba5db78fd81e6a4b88b3d7f203ea9810d2e61bc1f5b,0.275050012,0.004723463,0,0.083925646,Medium,Medium Engagement
0007b7b197a68e10925e2b4abf89130323ea2a87deb8ada24159a249b6010516,0.273681203,0.037727337,0,0.113724326,High,Low Engagement
0007ee1ac8edb6be588c6c8a158d2268e3228c49cf52773d168012076c118e5f,0.296710788,0.018687264,0,0.508321823,Very High,Medium Engagement
0008c2f297e1b00bf567c0d2c25f3e3b356f9a3088d2bf47aaaa724d26df8787,0.622447586,0.056150434,1,0.603279378,Very High,High Engagement
0008ef32824d3067b4d8ab70e7c79fa04c808f4d99194fe9c7827dac8bcf0b5c,0.275332485,0.004592212,0,0.083524628,Medium,Medium Engagement
000919ba92d9a04c28e1e49f6cd855ca36e1df7c79cc0583b60734da25265fb1,0.437435024,0.44694703,0,0.820880467,Very High,High Engagement
00093b69756b1afe3029c79b981e8d699b2a48bf4464a9d4c8432dc2bb45372e,0.353823531,0.108798879,0,0.63643212,Very High,High Engagement
000940eb997a3356d782e519274accd60c1f4f9af86dde67552d54ca4c619fe6,0.272936611,0.147760414,0,0.456088129,High,Low Engagement
000962b331f602203d5b5fb41b915893e74db55534182d4968a3423c19258584,0.193550418,0.234884914,1,0.703610403,Very High,Low Engagement
00098cc74b9a5113321817176656d2d75928c363cc45ab81502f7239cae2187b,0.257361084,0.031406459,0,0.293509957,High,Low Engagement
0009a85feed29c69e41a1dfa6375ba7010870adbe7550e4ce2f1d4c564db1691,0.330343059,0.045304677,0,0.058563345,Low,High Engagement
0009bd8871169b8d76a445e1f52079a6edc0b6f0bf021d5ec50ef6aa6487cc14,0.273287839,0.007524501,0,0.084439971,Medium,Low Engagement
0009e1a505be8b131904d3908b9d6e149108859a37cd88d760349b52751fa2f5,0.203368724,0.139394675,0,0.298215787,High,Low Engagement
000a1745b0fba14f100603038675e879651f9af9c729c523a81bbf93dacf0e57,0.276601935,0.064131394,0,0.101625199,Medium,Medium Engagement
000aaaf8dba0cf6b0853a317d5cd4a8d581b529e5d85119101c05b8ad16190b2,0.322430995,0.060417275,0,0.071762867,Low,High Engagement
000ac434614bed68129738742263a6306192132f904a83fadac1553955d1f0fb,0.32741108,0.012444832,0,0.064776269,Low,High Engagement
000adf2938f771f75a581b65107024eddeae70684778c0da9b94b261b836a940,0.338525367,0.013470515,0,0.053316173,Low,High Engagement
000ae3818c26d56167678fde3b6238888d0f802c02f4bfa8352ab0c614df776a,0.310935838,0.006283888,0,0.094476297,Medium,Medium Engagement
000aeb78bae8b5dff7906f5d3a3805e24856f437c7e95d26bdae93e23aac47a0,0.151258349,0.047574894,0,0.419667908,High,Low Engagement
000b30e00a2a37b5ae325fa3830c9b2b6365b0c17719c9d283d66c0fd2284f59,0.290875463,0.089575904,0,0.114098918,High,Medium Engagement
000b48231b7fad0e00ce78790df80ff94bd890eaaa8c6816fc897bf97505f7bd,0.342748846,0.049251373,0,0.054601474,Low,High Engagement
000b6357c2a736700113519ea047bfe3d38a6dc2a89d798b86c184fd4673f802,0.338240535,0.205285074,0,0.101552002,Medium,High Engagement
000b789efc34ef75106b9e135dbeabd0408e0735fa8b2d046df6587c49ccbeed,0.295940466,0.021784165,0,0.074226693,Low,Medium Engagement
000ba16037da23e8601c4914b8d638bf4bb834fc1c7b9a513927f1cb26b26204,0.313422815,0.050479824,0,0.078165376,Low,Medium Engagement
000bbcea7cf6a9d74b2ff2f6fd4fa89a4ff4c419a8b569eb167717231edb7ccf,0.224476287,0.052116511,1,0.188648748,High,Low Engagement
000c36f7b5130de63c1b7ee4bc902ba51aa8ae1f9cd1cee254892b0b06011cb4,0.28534212,0.068459701,0,0.113495154,High,Medium Engagement
000c57a2ca053e6ddc51fa2eaac470ee96663c2b505916a73ba944878d20184d,0.337590319,0.203806662,0,0.098507129,Medium,High Engagement
000cba133a9f5634a0f3e56d439ae774a819292301329551531a54791169abc4,0.345522846,0.071920288,0,0.059217771,Low,High Engagement
000cc41bf286c67da129d61340c7de52adf8636b42a4a74f1cc2129390ce348f,0.372427242,0.041400108,0,0.551705213,Very High,High Engagement
000cc98607442c5074d368870a7fa3cb1634147af647f1aec9c99175aaf0c7fa,0.177826374,0.110940883,1,0.606609989,Very High,Low Engagement
000cfb5aac8db50185898fa111be535e4530149f341a9a4d7ad3bd9b7e14c281,0.328717382,0.203393449,0,0.109153537,High,High Engagement
000d2c718af00d1b56d5717738b60f72766ae487b0eceacb17250c543e2c23a5,0.189505379,0.066695181,0,0.281932863,High,Low Engagement
000d31f624ba226a4ca7249b489c440abd793f30b3d2e3abe9f003fbfc157f1b,0.191238276,0.701061191,1,0.854617669,Very High,Low Engagement
000d4be985f5eb4f752ed9c0e3e4e11261b86f00e28082be1e4ca044485a9f24,0.300699045,0.101318367,0,0.116746116,High,Medium Engagement
000d83d6da1c0d771f9ec471741b0dae476196bb05451bf29df0a8e0a089ef86,0.275900173,0.051419607,0,0.11902316,High,Medium Engagement
000d848df79e239601299a543d77e5bf35edec39f53a49f449ca29c08079f535,0.270184774,0.065080645,0,0.190121994,High,Low Engagement
000dac810943ef22598f3e650b91f667517baf45cffe11886723512939905d14,0.356450959,0.366287857,1,0.795761164,Very High,High Engagement
